Delta_TP9_mean,Delta_AF7_mean,Delta_AF8_mean,Delta_TP10_mean,Theta_TP9_mean,Theta_AF7_mean,Theta_AF8_mean,Theta_TP10_mean,Alpha_TP9_mean,Alpha_AF7_mean,Alpha_AF8_mean,Alpha_TP10_mean,Beta_TP9_mean,Beta_AF7_mean,Beta_AF8_mean,Beta_TP10_mean,Gamma_TP9_mean,Gamma_AF7_mean,Gamma_AF8_mean,Gamma_TP10_mean,GSR RAW_mean,GSR Resistance CAL_mean,GSR Conductance CAL_mean,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean,Row_mean,SampleNumber_mean,Anger_mean,Contempt_mean,Disgust_mean,Fear_mean,Joy_mean,Sadness_mean,Surprise_mean,Engagement_mean,Valence_mean,Sentimentality_mean,Confusion_mean,Neutral_mean,Attention_mean,Brow Furrow_mean,Brow Raise_mean,Cheek Raise_mean,Chin Raise_mean,Dimpler_mean,Eye Closure_mean,Eye Widen_mean,Inner Brow Raise_mean,Jaw Drop_mean,Lip Corner Depressor_mean,Lip Press_mean,Lip Pucker_mean,Lip Stretch_mean,Lip Suck_mean,Lid Tighten_mean,Mouth Open_mean,Nose Wrinkle_mean,Smile_mean,Smirk_mean,Upper Lip Raise_mean,Blink_mean,BlinkRate_mean,Pitch_mean,Yaw_mean,Roll_mean,Interocular Distance_mean
-0.009799607,0.004887598,0.000107928485,0.006551271,0.0016383224,0.0007973583,0.0008466583,0.0042712134,0.0009384741,0.0047098286,-0.00047045958,-0.001362329,-0.0060038627,-9.621377e-06,0.0014985073,-0.0005322828,-9.2496375e-05,-8.966202e-05,0.00017397717,0.00012958143,-0.00063576055,-0.0005899625,0.0033441181,-0.0006349176,0.001119263,0.0,1.0802301e-05,-3.3449396e-08,0.0,0.00013453406,0.00012348322,1.9113737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009823691,-0.0006517446,-7.026941e-05,0.0040012468,1.3103062e-05,0.001304658,-0.0015790558,0.00012929503,6.0402166e-05,-0.00024943452,-0.00029728672,-0.0002675477,0.0,0.000116883755,0.0,0.00012414805,0.00013117923,-0.00036733662,0.0043481216,0.008709815,0.0,0.0,-0.0002593687,-6.0365972e-05,-0.0005671384,0.0,3.1411226e-05,0.00016736648,-9.9518176e-05,-1.6864258e-05,2.4421906e-05,-0.00035307315,0.000111297864,-0.0031776682,0.0,0.0008476606,0.0,0.0009151064,0.00022861137
-0.009029812,-0.020872755,-0.002203533,-0.006458018,-0.0040081805,-0.0035925894,0.00059328607,0.003367679,-0.00022483052,-0.014141668,-0.0011904155,-0.00017254132,-0.0036325585,-9.621377e-06,0.000792395,0.00033774303,-0.00013941803,-5.2950025e-05,-0.00023983944,-4.389233e-05,0.0025998694,0.0085502695,0.0028103644,0.00018283757,0.0019756407,0.0,3.9398487e-06,-2.0184827e-05,0.0,-8.201314e-05,-0.00028244674,-5.794311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071806845,-0.00029754062,-8.946078e-05,-0.0054797167,1.3103062e-05,-0.0026215147,-0.0012219672,-2.8317554e-05,-0.0002490502,0.00011158637,0.00014627284,-0.00029284178,0.0,-0.00018683303,0.0,6.341059e-05,-6.770232e-05,-0.0010452655,-0.000717915,0.004532223,0.0,0.0,0.00022426745,-7.9277626e-05,0.00033462775,0.0,-0.00018585146,7.223841e-05,-0.0003350565,6.0962666e-05,1.6444632e-05,-0.000297532,0.000106282634,0.0002560338,0.0,-0.0012560512,0.0,0.00037760733,-0.00043718662
-0.013171914,0.005795542,0.0013188396,0.007459593,0.0012812365,0.0012622185,0.0009384471,0.004551212,-0.0013217385,0.004116282,-0.0005698118,-0.0002786571,-0.0020527206,-9.621377e-06,0.00064250606,-0.0005322828,-0.000112827984,-8.966202e-05,-0.00018292612,0.00012345632,0.0028774438,0.00046678632,0.003227428,0.0005654342,0.0037584405,0.0,4.303267e-06,-4.886575e-06,0.0,-7.346044e-05,-8.631649e-05,9.548166e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017031828,0.00014248886,-7.575235e-05,-0.004077578,-2.0850584e-05,0.0012435408,-0.001369219,-5.864064e-05,6.0402166e-05,0.000102090606,-0.00030595443,-0.00012411583,0.0,0.0001388604,0.0,-0.0006828144,0.00013117923,-0.00032100233,0.0008611144,0.0049315793,0.0,0.0,-0.0002593687,-6.0365972e-05,-0.0005671384,0.0,3.1411226e-05,-0.00015892982,-0.00026751854,-0.00017452188,-9.292961e-05,0.0008451796,-0.00017720152,0.0005681508,0.0,-0.0005433444,0.0,-0.0009832996,-0.00060786266
-0.0101257,0.011619573,0.0027803914,0.008590261,0.002875443,0.0007501371,0.0009284965,0.004944107,0.0011949922,0.0051726797,-0.00034383926,-0.00026169952,0.004832823,-9.621377e-06,0.00068841333,0.00072520634,0.00021226349,0.00010772385,-0.00034131535,-0.00036980532,0.0030477275,0.010181135,0.0033300926,-0.0006349176,0.0038286666,0.0,1.0802301e-05,8.54087e-06,0.0,-7.346044e-05,0.00011066094,1.9113737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010352448,0.00034950933,-7.56972e-05,-0.0040651937,1.3103062e-05,0.0010465339,-0.0005074836,6.5819535e-05,6.0402166e-05,0.00010509224,-0.00029728672,0.0010335821,0.0,-4.6037603e-06,0.0,0.00012414805,0.00013117923,-0.00036733662,0.005024206,0.008808413,0.0,0.0,-0.0002593687,-6.629727e-05,-0.0005671384,0.0,3.1411226e-05,-0.00013389316,-0.0002841608,-0.00017452188,2.4421906e-05,-0.00035307315,-8.709211e-05,0.0005681508,0.0,0.0013362386,0.0,-0.0011326994,0.0005110259
-0.005731771,0.007539217,0.0022324445,0.0091952775,0.0022355546,0.0006982877,0.00090537925,0.003148547,0.0006205495,0.0048463657,0.00049986306,0.0007738376,-0.0026131482,-9.621377e-06,0.00094072154,-0.0006683911,-0.0002529997,2.9887338e-05,-0.000240377,6.905386e-05,0.0029087157,0.010187864,0.0033599143,0.00077859807,0.0024344618,0.0,-2.7005757e-05,-3.3449396e-08,0.0,-7.346044e-05,9.9561345e-05,1.0379705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009004584,-0.0002780942,0.000117080985,0.0063761603,1.3103062e-05,0.0016232524,0.0023474905,-4.8774105e-05,-0.00021328237,0.00012889992,0.000111950256,-0.00027826996,0.0,-0.00017224783,0.0,7.439578e-05,-6.770232e-05,-0.00036733662,0.00067871524,0.0067131384,0.0,0.0,-0.0002593687,-7.182583e-05,-0.0005785838,0.0,3.1411226e-05,-0.00013389316,-0.0002918735,-0.00017452188,1.6444632e-05,-0.0003644482,-0.00015404091,-0.0018303152,0.0,0.0013362386,0.0,-0.000989251,-0.00024378716
-0.012621122,-0.0066263317,0.0018236198,0.013531439,-0.004002784,-0.0011284106,0.00067388493,0.005302629,6.3014166e-05,0.004654011,-0.00069301005,-0.001484799,-0.0049973056,-9.621377e-06,0.0005987102,0.00072520634,0.00035975306,0.00010772385,-0.0002906308,-0.00022239608,0.0028882462,0.00990897,0.0031960802,0.00066938647,0.0035953242,0.0,3.9398487e-06,-2.3711851e-05,0.0,-7.346044e-05,-0.00018164364,-5.794311e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086607627,0.00032240318,-7.56972e-05,0.006761061,1.3103062e-05,0.0013874696,0.0016353143,8.540167e-05,5.2953423e-05,-0.00021590394,0.00025211746,0.001146096,0.0,-0.00011479979,0.0,0.00011126827,0.00013117923,-0.00036733662,-0.00937244,0.007623996,0.0,0.0,-0.00032790657,-7.182583e-05,-0.0005386304,0.0,-0.00011835054,7.223841e-05,-0.00029130795,-6.984266e-05,2.4421906e-05,-0.00038689934,0.000111297864,-0.0027899353,0.0,0.0013362386,0.0,-0.0010038847,0.00049011834
-0.008035033,0.0078760525,0.002817174,-0.0023308054,0.0019040401,0.0013132078,0.0011183082,0.005090486,0.0006611763,0.004927736,0.00064959086,7.216821e-05,-0.005740385,-9.621377e-06,-0.00836942,-0.0005322828,-0.00015827292,-8.966202e-05,0.00013950665,0.00012958143,0.0027952068,0.009792791,0.0032837607,-0.0008598246,0.0038564038,0.0,1.0802301e-05,-3.3449396e-08,0.0,-0.00016358077,9.9561345e-05,1.9113737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010078975,0.00013122268,-7.026941e-05,-0.00586038,1.3103062e-05,0.001040857,-0.0015790558,-6.0127895e-05,6.0402166e-05,0.00012889992,-0.00029728672,-0.00012612208,0.0,-2.6759662e-06,0.0,0.00012414805,0.00013117923,0.0023924238,0.005345257,0.00866407,0.0,0.0,-0.0002593687,-6.0365972e-05,-0.0005671384,0.0,3.1411226e-05,-0.00013389316,-0.00027420596,-0.00017452188,-7.044003e-05,-0.0003461166,-0.00015404091,0.00059132837,0.0,0.0008476606,0.0,-0.0010538426,-0.000542127
0.033632778,-0.0021318337,0.0027811192,0.0154944165,0.0030379728,-0.00083272724,0.000842175,0.0060688327,0.0004734162,0.0061115255,-0.00050450827,0.0011678002,0.0067204987,-9.621377e-06,-0.007300986,0.00072520634,0.00038887438,0.00010772385,0.00029966942,-4.092827e-05,0.0030652543,0.010700731,0.003571498,-0.00026787617,0.0041323914,0.0,1.0802301e-05,3.9594324e-05,0.0,-7.346044e-05,9.140381e-05,3.3110347e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092669023,0.00038664252,0.0001978059,0.007970677,1.3103062e-05,-0.001373055,0.0022785095,-7.789355e-06,-0.00021328237,8.477706e-05,0.00020187919,-0.00012201821,0.0,0.00014511119,0.0,0.00014822235,-6.251137e-05,-0.00036733662,0.0003277074,0.0088929,0.0,0.0,0.0006066706,-6.629727e-05,0.00080815057,0.0,0.00010325079,-5.7790727e-05,-0.00027974296,0.00011929679,2.4421906e-05,8.599382e-05,9.434231e-05,0.0006613779,0.0,-0.00093420665,0.0,0.0011441094,0.00058290147
-0.0048447005,0.0053209504,-0.0034992076,-0.0041050683,0.00072243914,0.00031883563,-0.0075039705,0.0039771376,-0.0014871001,0.0046797064,0.000335244,0.00082433026,0.0025586537,-9.621377e-06,-0.0077622095,-0.0006515781,-9.097409e-05,-8.966202e-05,0.00024550263,-0.0001558583,-0.028360602,-0.0061149593,0.0030207904,0.00018124277,0.0026112373,0.0,1.0802301e-05,1.0720758e-05,0.0,-8.416438e-05,0.00012380342,1.9113737e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010196161,0.00027966016,0.00018124648,-0.00497218,1.3103062e-05,-0.0018617976,-0.0016450859,-2.4319907e-05,9.1406735e-05,0.00012889992,0.0003991918,-0.00010634169,0.0,7.900014e-05,0.0,8.317991e-05,-6.251137e-05,-0.0009636216,-0.00022181589,0.00693182,0.0,0.0,0.00033772163,-6.0365972e-05,0.0008348564,0.0,6.891173e-05,0.00016736648,0.0012746562,0.00015410397,2.3941158e-05,-0.00031515321,0.00014354473,0.00035880826,0.0,-0.00035918847,0.0,0.0009377,0.00027349254
-0.003016394,0.008842071,0.0040033665,-0.002421122,0.002845082,0.00082354515,0.0012377729,0.002722657,0.0009327197,0.0057605407,0.0006845979,0.0005810863,0.004002162,-9.621377e-06,0.0014307018,0.00072520634,3.9293413e-05,-0.00032317158,0.00025472784,-3.480316e-05,0.0029478506,0.0103238085,0.0034557153,0.0013935738,0.0026468039,0.0,3.9398487e-06,-2.0184827e-05,0.0,-0.00016358077,-0.0002570761,-3.344904e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089694327,0.0001424053,-8.8230285e-05,0.007102395,-4.9005113e-05,0.0016172993,0.0024630432,6.0480586e-05,6.0402166e-05,0.00012889992,-0.00029728672,-0.00027360578,0.0,2.5441412e-05,0.0,-0.00045242082,-6.770232e-05,0.0031357966,0.0066397665,0.006844141,0.0,0.0,0.00050386385,-6.0365972e-05,0.00063492986,0.0,-0.00012404111,-0.00013389316,-0.00028217633,9.5769836e-05,-4.650821e-05,8.056295e-05,0.00012340232,0.00035596217,0.0,-0.00067812856,0.0,-0.0011469929,-0.000542127
